journal,issn-l,issn-e,categories
IRANIAN JOURNAL OF NUCLEAR MEDICINE,1681-2824,2008-2509,"Radiology, Nuclear Medicine & Medical Imaging"
IRANIAN JOURNAL OF NURSING AND MIDWIFERY RESEARCH,1735-9066,2228-5504,Nursing
IRANIAN JOURNAL OF PEDIATRIC HEMATOLOGY AND ONCOLOGY,2008-8892,2228-6993,Pediatrics
IRANIAN JOURNAL OF PSYCHIATRY AND BEHAVIORAL SCIENCES,1735-8639,1735-9287,Psychiatry
IRANIAN JOURNAL OF PSYCHIATRY AND CLINICAL PSYCHOLOGY,1735-4315,2228-7515,Psychiatry
IRAQI JOURNAL OF AGRICULTURAL SCIENCES,0075-0530,2410-0862,"Agriculture, Multidisciplinary"
IRAQI JOURNAL OF HEMATOLOGY,2072-8069,2543-2702,Hematology
IRIDE-FILOSOFIA E DISCUSSIONE PUBBLICA,1122-7893,1122-7893,Philosophy
IRISH ECONOMIC AND SOCIAL HISTORY,0332-4893,2050-4918,History
IRISH JOURNAL OF MANAGEMENT,1649-248X,2451-2834,Management
IRISH JOURNAL OF PSYCHOLOGICAL MEDICINE,0790-9667,2051-6967,Psychiatry
IRISH JURIST,0021-1273,0021-1273,Law
ISECURE-ISC INTERNATIONAL JOURNAL OF INFORMATION SECURITY,2008-2045,2008-3076,"Computer Science, Information Systems"
ISLAMIYYAT-THE INTERNATIONAL JOURNAL OF ISLAMIC STUDIES,0126-5636,0126-5636,Religion
ISME COMMUNICATIONS,,2730-6151,Ecology | Microbiology
ISOGLOSS OPEN JOURNAL OF ROMANCE LINGUISTICS,,2385-4138,Linguistics | Language & Linguistics
ISRAEL LAW REVIEW,0021-2237,2047-9336,Law
ISRAEL STUDIES,1084-9513,1527-201X,Area Studies
ISRAEL STUDIES REVIEW,2159-0370,2159-0389,Area Studies
ISSUES IN ACCOUNTING EDUCATION,0739-3172,1558-7983,"Business, Finance"
ISSUES IN EDUCATIONAL RESEARCH,1837-6290,1837-6290,Education & Educational Research
ISSUES & STUDIES,1013-2511,2529-802X,Area Studies | International Relations | Political Science
ISTANBUL BUSINESS RESEARCH,,2630-5488,"Business, Finance"
ISTANBUL HUKUK MECMUASI,2636-7734,2667-6974,Law
ISTANBUL IKTISAT DERGISI-ISTANBUL JOURNAL OF ECONOMICS,2602-4152,2602-3954,"Business, Finance | Economics"
ISTANBUL JOURNAL OF PHARMACY,,2587-2087,Pharmacology & Pharmacy
ISTANBUL MEDICAL JOURNAL,2619-9793,2148-094X,"Medicine, General & Internal"
ISTANBUL UNIVERSITESI SOSYOLOJI DERGISI-ISTANBUL UNIVERSITY JOURNAL OF SOCIOLOGY,1304-2998,2667-6931,Sociology
ISTORIJA,1392-0456,2029-7181,History
ISTORIJA 20 VEKA,0352-3160,2560-3647,History
ISTORIYA-ELEKTRONNYI NAUCHNO-OBRAZOVATELNYI ZHURNAL,2079-8784,2079-8784,History
ISTORIYA-HISTORY,0861-3710,1314-8524,History
ITALIAN CULTURE,0161-4622,1559-0909,"Humanities, Multidisciplinary"
ITALIAN ECONOMIC JOURNAL,2199-322X,2199-3238,Economics
ITALIAN GEOTECHNICAL JOURNAL-RIVISTA ITALIANA DI GEOTECNICA,0557-1405,0557-1405,"Engineering, Geological"
ITALIANIST,0261-4340,1748-619X,"Humanities, Multidisciplinary"
ITALIAN JOURNAL OF ENGINEERING GEOLOGY AND ENVIRONMENT,1825-6635,2035-5688,"Geosciences, Multidisciplinary"
ITALIAN JOURNAL OF FOOD SAFETY,2239-7132,2239-7132,Food Science & Technology
ITALIAN JOURNAL OF LINGUISTICS,1120-2726,1120-2726,Linguistics
ITALIAN JOURNAL OF MEDICINE,1877-9344,1877-9352,"Medicine, General & Internal"
ITALIAN JOURNAL OF PLANNING PRACTICE,2239-267X,2239-267X,Architecture
ITALIAN JOURNAL OF PURE AND APPLIED MATHEMATICS,1126-8042,2239-0227,Mathematics
ITALIAN JOURNAL OF VASCULAR AND ENDOVASCULAR SURGERY,1824-4777,1827-1847,Peripheral Vascular Diseases
ITALIANO LINGUADUE,2037-3597,2037-3597,Language & Linguistics
ITALIAN POLITICAL SCIENCE REVIEW-RIVISTA ITALIANA DI SCIENZA POLITICA,0048-8402,2057-4908,Political Science
ITALICA BELGRADENSIA,0353-4766,2812-877X,"Language & Linguistics | Literature, Romance"
I TATTI STUDIES,0393-5949,2037-6731,Medieval & Renaissance Studies
ITE TRANSACTIONS ON MEDIA TECHNOLOGY AND APPLICATIONS,2186-7364,2186-7364,"Engineering, Electrical & Electronic"
ITINERARIA,1594-1019,1594-1019,"Humanities, Multidisciplinary"
ITINERARIOS-REVISTA DE LITERATURA,0103-815X,,Literature
IT-INFORMATION TECHNOLOGY,1611-2776,2196-7032,"Computer Science, Information Systems"
ITL-INTERNATIONAL JOURNAL OF APPLIED LINGUISTICS,0019-0829,1783-1490,Linguistics | Language & Linguistics
IUS CANONICUM,0021-325X,2254-6219,Law
IUS HUMANI-REVISTA DE DERECHO,1390-440X,1390-7794,Law
IZA JOURNAL OF LABOR POLICY,2193-9004,2193-9004,Industrial Relations & Labor
IZQUIERDAS,0718-5049,0718-5049,Political Science
IZVESTIYA INSTITUTA MATEMATIKI I INFORMATIKI-UDMURTSKOGO GOSUDARSTVENNOGO UNIVERSITETA,2226-3594,2410-1737,Mathematics
IZVESTIYA OF SARATOV UNIVERSITY MATHEMATICS MECHANICS INFORMATICS,1816-9791,2541-9005,Mathematics
IZVESTIYA URALSKOGO FEDERALNOGO UNIVERSITETA-SERIYA 2-GUMANITARNYE NAUKI,2227-2283,2587-6929,"Humanities, Multidisciplinary"
IZVESTIYA VUZOV-PRIKLADNAYA KHIMIYA I BIOTEKHNOLOGIYA,2227-2925,2500-1558,"Chemistry, Multidisciplinary"
IZVESTIYA VYSSHIKH UCHEBNYKH ZAVEDENII KHIMIYA I KHIMICHESKAYA TEKHNOLOGIYA,0579-2991,2500-3070,"Chemistry, Multidisciplinary"
IZVESTIYA VYSSHIKH UCHEBNYKH ZAVEDENIY-PRIKLADNAYA NELINEYNAYA DINAMIKA,0869-6632,2542-1905,"Physics, Multidisciplinary"
J19-THE JOURNAL OF NINETEENTH-CENTURY AMERICANISTS,2166-742X,2166-7438,"Literature, American"
JAAD INTERNATIONAL,,2666-3287,Dermatology
JAC-ANTIMICROBIAL RESISTANCE,,2632-1823,Infectious Diseases | Microbiology | Pharmacology & Pharmacy
JACC-ADVANCES,,2772-963X,Cardiac & Cardiovascular System
JACC-ASIA,2772-3747,2772-3747,Cardiac & Cardiovascular System
JA CLINICAL REPORTS,2363-9024,2363-9024,Anesthesiology
JACS AU,,2691-3704,"Chemistry, Multidisciplinary"
JAEN JOURNAL ON APPROXIMATION,1889-3066,1989-7251,Mathematics
JAHRBUCH DER OESTERREICHISCHEN BYZANTINISTIK,0378-8660,1810-536X,Medieval & Renaissance Studies
JAHRBUCH FUR WIRTSCHAFTSGESCHICHTE,0075-2800,2196-6842,Economics | History
JAMBA-JOURNAL OF DISASTER RISK STUDIES,1996-1421,2072-845X,"Social Sciences, Interdisciplinary"
JAMIA OPEN,,2574-2531,Health Care Sciences & Services | Medical Informatics
JANUS-ESTUDIOS SOBRE EL SIGLO DE ORO,2254-7290,2254-7290,"Literature, Romance"
JAPAN ARCHITECTURAL REVIEW,2475-8876,2475-8876,Architecture
JAPANESE ACCOUNTING REVIEW,2185-4785,2185-4793,"Business, Finance"
JAPANESE JOURNAL OF SOCIOLOGY,2769-1365,2769-1357,"Sociology | Social Sciences, General"
JAPANESE JOURNAL OF STATISTICS AND DATA SCIENCE,2520-8756,2520-8764,Statistics & Probability
JAPANESE POLITICAL ECONOMY,2329-194X,2329-1958,Economics
JAPANESE STUDIES,1037-1397,1469-9338,Area Studies
JAPANESE STUDIES IN RUSSIA,2500-2872,2500-2872,Area Studies
JAPAN FORUM,0955-5803,1469-932X,Area Studies
JAPAN REVIEW,0915-0986,2434-3129,Asian Studies
JASA EXPRESS LETTERS,,2691-1191,Acoustics | Audiology & Speech-Language Pathology
JATI-JOURNAL OF SOUTHEAST ASIAN STUDIES,1823-4127,2600-8653,"Social Sciences, Interdisciplinary"
JAZZ RESEARCH JOURNAL,1753-8637,1753-8645,Music
JBI EVIDENCE SYNTHESIS,,2689-8381,Health Care Sciences & Services
JBJS ESSENTIAL SURGICAL TECHNIQUES,2160-2204,2160-2204,Surgery
JBJS OPEN ACCESS,,2472-7245,Orthopedics | Surgery
JBJS REVIEWS,2329-9185,2329-9185,Surgery
JBMR PLUS,,2473-4039,Endocrinology & Metabolism
JCIS OPEN,2666-934X,2666-934X,"Chemistry, Physical | Chemistry, Multidisciplinary"
JCO CLINICAL CANCER INFORMATICS,2473-4276,2473-4276,Oncology
JCO GLOBAL ONCOLOGY,,2687-8941,Oncology
JCOM-JOURNAL OF SCIENCE COMMUNICATION,1824-2049,1824-2049,Communication
JCPP ADVANCES,2692-9384,2692-9384,"Psychology | Psychology, Development | Psychiatry"
JDR CLINICAL & TRANSLATIONAL RESEARCH,2380-0844,2380-0852,"Dentistry, Oral Surgery & Medicine"
JDS COMMUNICATIONS,,2666-9102,"Agriculture, Dairy & Animal Science"
JEADV CLINICAL PRACTICE,2768-6566,2768-6566,Dermatology
JEBAT-MALAYSIAN JOURNAL OF HISTORY POLITICS AND STRATEGIC STUDIES,0126-5644,2180-0251,History
JEUNESSE-YOUNG PEOPLE TEXTS CULTURES,1920-2601,1920-261X,"Humanities, Multidisciplinary"
JEU-REVUE DE THEATRE,0382-0335,1923-2578,Theater
JEWISH FILM & NEW MEDIA-AN INTERNATIONAL JOURNAL,2169-0324,2169-0332,"Film, Radio, Television"
JEWISH HISTORICAL STUDIES-TRANSACTIONS OF THE JEWISH HISTORICAL SOCIETY OF ENGLAND,0962-9696,2397-1290,History
JEWISH QUARTERLY REVIEW,0021-6682,1553-0604,"Humanities, Multidisciplinary"
JEWISH SOCIAL STUDIES,0021-6704,1527-2028,"Humanities, Multidisciplinary"
JEWISH STUDIES QUARTERLY,0944-5706,1868-6788,"Humanities, Multidisciplinary"
JEZIKOSLOVLJE,1331-7202,1848-9001,Language & Linguistics
JGH OPEN,2397-9070,2397-9070,Gastroenterology & Hepatology
JID INNOVATIONS,,2667-0267,Dermatology
JIMD REPORTS,2192-8312,2192-8312,Genetics & Heredity | Endocrinology & Metabolism
JIMS8M-THE JOURNAL OF INDIAN MANAGEMENT & STRATEGY,0973-9335,0973-9343,Management
JIRSS-JOURNAL OF THE IRANIAN STATISTICAL SOCIETY,1726-4057,2538-189X,Statistics & Probability
JLIS.IT,2038-5366,2038-1026,Information Science & Library Science
JMA JOURNAL,2433-328X,2433-3298,"Medicine, General & Internal"
JMIR AI,,2817-1705,Health Care Sciences & Services | Medical Informatics
JMIR CANCER,2369-1999,2369-1999,Oncology
JMIR CARDIO,,2561-1011,Cardiac & Cardiovascular System
JMIR DERMATOLOGY,,2562-0959,Dermatology
JMIR DIABETES,2371-4379,2371-4379,Health Care Sciences & Services | Endocrinology & Metabolism
JMIR FORMATIVE RESEARCH,,2561-326X,Health Care Sciences & Services | Medical Informatics
JMIR HUMAN FACTORS,2292-9495,2292-9495,Health Care Sciences & Services | Medical Informatics
JMIR INFODEMIOLOGY,,2564-1891,"Health Care Sciences & Services | Public, Environmental & Occupational Health"
JMIR MEDICAL EDUCATION,2369-3762,2369-3762,"Education, Scientific Disciplines"
JMIR NURSING,,2562-7600,Nursing
JMIR PEDIATRICS AND PARENTING,2561-6722,2561-6722,Pediatrics
JMIR PERIOPERATIVE MEDICINE,2561-9128,2561-9128,Surgery
JMIR REHABILITATION AND ASSISTIVE TECHNOLOGIES,,2369-2529,Health Care Sciences & Services | Rehabilitation
JMIR RESEARCH PROTOCOLS,1929-0748,1929-0748,"Health Care Sciences & Services | Public, Environmental & Occupational Health"
JMM-INTERNATIONAL JOURNAL ON MEDIA MANAGEMENT,1424-1277,1424-1250,Communication
JNCI CANCER SPECTRUM,,2515-5091,Oncology
JOHNS HOPKINS APL TECHNICAL DIGEST,0270-5214,1930-0530,"Engineering, Multidisciplinary"
JOINT COMMISSION JOURNAL ON QUALITY AND PATIENT SAFETY,1553-7250,1938-131X,Health Care Sciences & Services
JOMR-JOURNAL OF ORAL & MAXILLOFACIAL RESEARCH,2029-283X,2029-283X,"Dentistry, Oral Surgery & Medicine"
JORDANIAN JOURNAL OF COMPUTERS AND INFORMATION TECHNOLOGY,2413-9351,2415-1076,"Computer Science, Information Systems | Telecommunications"
JORDAN JOURNAL OF CHEMISTRY,1814-9111,2079-7249,"Chemistry, Multidisciplinary"
JORDAN JOURNAL OF CIVIL ENGINEERING,1993-0461,2225-157X,"Engineering, Civil"
JORDAN JOURNAL OF ELECTRICAL ENGINEERING,2409-9600,2409-9619,"Computer Science, Information Systems | Engineering, Electrical & Electronic"
JORDAN JOURNAL OF MATHEMATICS AND  STATISTICS,2075-7905,2227-5487,Mathematics
JORDAN JOURNAL OF MECHANICAL AND INDUSTRIAL ENGINEERING,1995-6665,1995-6665,"Engineering, Mechanical"
JORDAN JOURNAL OF MODERN LANGUAGES & LITERATURE,1994-6953,2304-8069,Language & Linguistics
JORDAN JOURNAL OF PHYSICS,1994-7607,1994-7615,"Physics, Multidisciplinary"
JORNAL BRASILEIRO DE NEFROLOGIA,0101-2800,2175-8239,Urology & Nephrology
JORNAL BRASILEIRO DE REPRODUCAO ASSISTIDA,1517-5693,1518-0557,Obstetrics & Gynecology
JORNAL VASCULAR BRASILEIRO,1677-5449,1677-7301,Peripheral Vascular Diseases
JOURNAL DE LA SOCIETE DES AMERICANISTES,0037-9174,1957-7842,Anthropology
JOURNAL FOR CRITICAL EDUCATION POLICY STUDIES,2051-0969,1740-2743,Education & Educational Research
JOURNAL FOR CULTURAL RESEARCH,1479-7585,1740-1666,Cultural Studies
JOURNAL FOR EARLY MODERN CULTURAL STUDIES,1531-0485,1553-3786,Cultural Studies
JOURNAL FOR EDUCATIONAL RESEARCH ONLINE-JERO,1866-6671,1866-6671,Education & Educational Research
JOURNAL FOR EUROPEAN ENVIRONMENTAL & PLANNING LAW,1613-7272,1876-0104,Law
JOURNAL FOR GEOMETRY AND GRAPHICS,1433-8157,1433-8157,Mathematics
JOURNAL FOR INTERNATIONAL BUSINESS AND ENTREPRENEURSHIP DEVELOPMENT,1549-9324,1747-6763,Business
JOURNAL FOR LABOUR MARKET RESEARCH,2510-5019,2510-5027,Industrial Relations & Labor
JOURNAL FOR MULTICULTURAL EDUCATION,2053-535X,2053-535X,Education & Educational Research
JOURNAL FOR NEW GENERATION SCIENCES,1684-4998,1684-4998,"Social Sciences, Interdisciplinary"
JOURNAL FOR NURSES IN PROFESSIONAL DEVELOPMENT,2169-9798,2169-981X,Nursing
JOURNAL FOR PEACE AND NUCLEAR DISARMAMENT,,2575-1654,International Relations
JOURNAL FOR SEMITICS,1013-8471,1013-8471,"Humanities, Multidisciplinary"
JOURNAL FOR SPECIALISTS IN GROUP WORK,0193-3922,1549-6295,"Psychology, Clinical"
JOURNAL FOR THE ACADEMIC STUDY OF RELIGION,2047-704X,2047-7058,Religion
JOURNAL FOR THE COGNITIVE SCIENCE OF RELIGION,2049-7555,2049-7563,Religion
JOURNAL FOR THE EDUCATION OF THE GIFTED,0162-3532,2162-9501,"Education, Special"
JOURNAL FOR THE HISTORY OF MODERN THEOLOGY-ZEITSCHRIFT FUR NEUERE THEOLOGIEGESCHICHTE,0943-7592,1612-9776,Religion
JOURNAL FOR THE MEASUREMENT OF PHYSICAL BEHAVIOUR,2575-6605,2575-6613,Sport Sciences
JOURNAL FOR THE STUDY OF CHRISTIAN CULTURE,2071-9957,2071-9957,Religion
JOURNAL FOR THE STUDY OF RELIGION,1011-7601,1011-7601,Religion
JOURNAL FOR THE STUDY OF RELIGION NATURE AND CULTURE,1749-4907,1749-4915,Religion
JOURNAL FOR THE STUDY OF SPIRITUALITY,2044-0243,2044-0251,Religion
JOURNAL FOR THE STUDY OF SPORTS AND ATHLETES IN EDUCATION,1935-7397,1935-7400,Education & Educational Research
JOURNAL FOR THE STUDY OF THE PSEUDEPIGRAPHA,0951-8207,1745-5286,Religion
JOURNAL FUR ENDOKRINOLOGIE DIABETOLOGIE UND STOFFWECHSEL,3004-8915,3004-8923,Endocrinology & Metabolism
JOURNAL FUR HYPERTONIE,1028-2327,1680-9378,Cardiac & Cardiovascular System
JOURNAL FUR KARDIOLOGIE,1024-0098,1680-936X,Cardiac & Cardiovascular System
JOURNAL FUR KULTURPFLANZEN,1867-0911,1867-0938,Agronomy | Plant Sciences
JOURNAL FUR MATHEMATIK-DIDAKTIK,0173-5322,1869-2699,Education & Educational Research
JOURNALISM AND MEDIA,,2673-5172,Communication
JOURNAL OF ACADEMIC ETHICS,1570-1727,1572-8544,Ethics
JOURNAL OF ACADEMIC LANGUAGE AND LEARNING,1835-5196,1835-5196,Education & Educational Research
JOURNAL OF ACADEMIC RESEARCH IN MEDICINE-JAREM,2146-6505,2147-1894,"Medicine, General & Internal"
JOURNAL OF ACCOUNTING  AND ORGANIZATIONAL CHANGE,1832-5912,1839-5473,"Business, Finance"
JOURNAL OF ACCOUNTING AUDITING AND FINANCE,0148-558X,2160-4061,"Business, Finance"
JOURNAL OF ACCOUNTING IN EMERGING ECONOMIES,2042-1168,2042-1176,"Business, Finance"
JOURNAL OF ACCOUNTING LITERATURE,0737-4607,2452-1469,"Business, Finance"
JOURNAL OF ACCOUNTING REVIEW,1018-1687,1018-1687,"Business, Finance"
JOURNAL OF ACTIVE AND PASSIVE ELECTRONIC DEVICES,1555-0281,1555-029X,"Engineering, Electrical & Electronic"
JOURNAL OF ACUPUNCTURE AND TUINA SCIENCE,1672-3597,1993-0399,Integrative & Complementary Medicine
JOURNAL OF ACUTE CARE PHYSICAL THERAPY,2158-8686,2159-0524,Rehabilitation
JOURNAL OF ACUTE DISEASE,2221-6189,2589-5516,Critical Care Medicine
JOURNAL OF ACUTE MEDICINE,2211-5587,2211-5595,Emergency Medicine
JOURNAL OF ADAPTATION IN FILM & PERFORMANCE,1753-6421,1753-643X,"Humanities, Multidisciplinary"
JOURNAL OF ADDICTIONS & OFFENDER COUNSELING,1055-3835,2161-1874,"Psychology, Applied"
JOURNAL OF ADULT AND CONTINUING EDUCATION,1477-9714,1479-7194,Education & Educational Research
JOURNAL OF ADULT PROTECTION,1466-8203,2042-8669,Social Work
JOURNAL OF ADVANCED ACADEMICS,1932-202X,2162-9536,"Education, Special"
JOURNAL OF ADVANCED APPLIED SCIENTIFIC RESEARCH,2454-3225,2454-3225,Multidisciplinary Sciences
JOURNAL OF ADVANCED COMPUTATIONAL INTELLIGENCE AND INTELLIGENT INFORMATICS,1343-0130,1883-8014,"Computer Science, Artificial Intelligence"
JOURNAL OF ADVANCED DIELECTRICS,2010-135X,2010-1368,"Physics, Applied | Materials Science, Ceramics"
JOURNAL OF ADVANCED JOINING PROCESSES,2666-3309,2666-3309,"Materials Science, Multidisciplinary | Metallurgy & Metallurgical Engineering"
JOURNAL OF ADVANCED MANUFACTURING SYSTEMS,0219-6867,1793-6896,"Engineering, Manufacturing"
JOURNAL OF ADVANCED ORAL RESEARCH,2320-2068,2320-2076,"Dentistry, Oral Surgery & Medicine"
JOURNAL OF ADVANCED SIMULATION IN SCIENCE AND ENGINEERING,2188-5303,2188-5303,"Engineering, Multidisciplinary"
JOURNAL OF ADVANCED VETERINARY AND ANIMAL RESEARCH,,2311-7710,"Agriculture, Dairy & Animal Science | Veterinary Sciences"
JOURNAL OF ADVANCES IN INFORMATION TECHNOLOGY,1798-2340,1798-2340,"Computer Science, Information Systems | Computer Science, Interdisciplinary Applications"
JOURNAL OF ADVANCES IN MANAGEMENT RESEARCH,0972-7981,2049-3207,Management
JOURNAL OF ADVENTURE EDUCATION AND OUTDOOR LEARNING,1472-9679,1754-0402,Education & Educational Research
JOURNAL OF AERONAUTICS ASTRONAUTICS AND AVIATION,1990-7710,1990-7710,"Engineering, Aerospace"
JOURNAL OF AEROSPACE TECHNOLOGY AND MANAGEMENT,1984-9648,2175-9146,"Engineering, Aerospace"
JOURNAL OF AESTHETICS AND PHENOMENOLOGY,2053-9320,2053-9339,Philosophy
JOURNAL OF AESTHETICS & CULTURE,2000-4214,2000-4214,"Humanities, Multidisciplinary | Cultural Studies"
JOURNAL OF AFRICAN AMERICAN STUDIES,1559-1646,1936-4741,Ethnic Studies
JOURNAL OF AFRICANA RELIGIONS,2165-5405,2165-5413,Religion
JOURNAL OF AFRICAN BUSINESS,1522-8916,1522-9076,Business
JOURNAL OF AFRICAN CINEMAS,1754-9221,1754-923X,"Film, Radio, Television"
JOURNAL OF AFRICAN MILITARY HISTORY,2468-0958,2468-0966,Area Studies | History | International Relations
JOURNAL OF AGGRESSION CONFLICT AND PEACE RESEARCH,1759-6599,2042-8715,Criminology & Penology
JOURNAL OF AGING AND ENVIRONMENT,2689-2618,2689-2626,Gerontology
JOURNAL OF AGING AND SOCIAL CHANGE,2576-5310,2576-5329,Gerontology
JOURNAL OF AGING RESEARCH,2090-2204,2090-2212,Geriatrics & Gerontology
JOURNAL OF AGRIBUSINESS IN DEVELOPING AND EMERGING ECONOMIES,2044-0839,2044-0847,Agricultural Economics & Policy | Economics
JOURNAL OF AGRICULTURAL AND APPLIED ECONOMICS,1074-0708,2056-7405,Agricultural Economics & Policy | Economics
JOURNAL OF AGRICULTURAL EXTENSION,1119-944X,2408-6851,Agronomy
JOURNAL OF AGRICULTURAL & FOOD INFORMATION,1049-6505,1540-4722,Agronomy
JOURNAL OF AGRICULTURAL MACHINERY,2228-6829,2423-3943,Agricultural Engineering
JOURNAL OF AGRICULTURAL SAFETY AND HEALTH,1074-7583,1943-7846,"Public, Environmental & Occupational Health"
JOURNAL OF AGRICULTURAL SCIENCES,1391-9318,2386-1363,"Agriculture, Multidisciplinary"
JOURNAL OF AGRICULTURE AND ENVIRONMENT FOR INTERNATIONAL DEVELOPMENT,1590-7198,2240-2802,Agronomy
JOURNAL OF AGRICULTURE AND FOOD RESEARCH,2666-1543,2666-1543,"Agriculture, Multidisciplinary | Food Science & Technology"
JOURNAL OF AGRICULTURE FOOD SYSTEMS AND COMMUNITY DEVELOPMENT,2152-0798,2152-0801,Agricultural Economics & Policy | Development Studies
JOURNAL OF ALGEBRAIC SYSTEMS,2345-5128,2345-511X,Mathematics
JOURNAL OF ALGORITHMS & COMPUTATIONAL TECHNOLOGY,1748-3018,1748-3026,"Computer Science, Interdisciplinary Applications"
JOURNAL OF ALLERGY AND CLINICAL IMMUNOLOGY: GLOBAL,,2772-8293,Allergy | Immunology
JOURNAL OF AL-TAMADDUN,1823-7517,1823-7517,Religion
JOURNAL OF ALTERNATIVE INVESTMENTS,1520-3255,2168-8435,"Business, Finance"
JOURNAL OF ALZHEIMERS DISEASE REPORTS,,2542-4823,Neurosciences
JOURNAL OF AMBULATORY CARE MANAGEMENT,0148-9917,1550-3267,Health Care Sciences & Services
JOURNAL OF AMERICAN CULTURE,1542-7331,1542-734X,"Humanities, Multidisciplinary"
JOURNAL OF AMERICAN-EAST ASIAN RELATIONS,1058-3947,1876-5610,History
JOURNAL OF ANAESTHESIOLOGY CLINICAL PHARMACOLOGY,0970-9185,2231-2730,Pharmacology & Pharmacy
JOURNAL OF ANALYSIS,0971-3611,2367-2501,Mathematics
JOURNAL OF ANALYSIS AND TESTING,2096-241X,2509-4696,"Chemistry, Analytical"
JOURNAL OF ANALYTICAL PSYCHOLOGY,0021-8774,1468-5922,"Psychology, Psychoanalysis"
JOURNAL OF ANCIENT HISTORY AND ARCHAEOLOGY,2360-266X,2360-266X,Archaeology
JOURNAL OF ANCIENT JUDAISM,1869-3296,2196-7954,Religion
JOURNAL OF ANCIENT NEAR EASTERN HISTORY,2328-9554,2328-9562,Archaeology | History
JOURNAL OF ANESTHESIA ANALGESIA AND CRITICAL CARE,,2731-3786,Anesthesiology | Critical Care Medicine
JOURNAL OF ANIMAL BEHAVIOUR AND BIOMETEOROLOGY,,2318-1265,"Agriculture, Dairy & Animal Science"
JOURNAL OF ANTITRUST ENFORCEMENT,2050-0688,2050-0696,Law
JOURNAL OF APPLIED ACCOUNTING RESEARCH,0967-5426,1758-8855,"Business, Finance"
JOURNAL OF APPLIED ANALYSIS,1425-6908,1869-6082,"Mathematics, Applied"
JOURNAL OF APPLIED AND COMPUTATIONAL MECHANICS,2383-4536,2383-4536,Mechanics
JOURNAL OF APPLIED AND NUMERICAL ANALYSIS,,2786-815X,"Mathematics, Applied"
JOURNAL OF APPLIED AQUACULTURE,1045-4438,1545-0805,Fisheries
JOURNAL OF APPLIED CORPORATE FINANCE,1078-1196,1745-6622,"Business, Finance"
JOURNAL OF APPLIED ECONOMICS AND BUSINESS RESEARCH,1927-033X,1927-033X,Economics
JOURNAL OF APPLIED ENGINEERING SCIENCES,2247-3769,2284-7197,"Engineering, Civil"
JOURNAL OF APPLIED GEODESY,1862-9016,1862-9024,Remote Sensing
JOURNAL OF APPLIED GLYCOSCIENCE,1344-7882,1880-7291,Biochemistry & Molecular Biology
JOURNAL OF APPLIED HERMENEUTICS,1927-4416,1927-4416,Philosophy
JOURNAL OF APPLIED JOURNALISM & MEDIA STUDIES,2001-0818,2049-9531,Communication
JOURNAL OF APPLIED LABORATORY MEDICINE,2576-9456,2475-7241,Medical Laboratory Technology
JOURNAL OF APPLIED LOGICS-IFCOLOG JOURNAL OF LOGICS AND THEIR APPLICATIONS,2631-9810,2631-9829,Logic
JOURNAL OF APPLIED MATHEMATICS,1110-757X,1687-0042,"Mathematics, Applied | Mathematics, Interdisciplinary Applications"
JOURNAL OF APPLIED MATHEMATICS AND COMPUTATIONAL MECHANICS,2299-9965,2353-0588,Mathematics
JOURNAL OF APPLIED MATHEMATICS & INFORMATICS,2734-1194,2234-8417,"Mathematics, Applied"
JOURNAL OF APPLIED MATHEMATICS STATISTICS AND INFORMATICS,1336-9180,1339-0015,"Mathematics, Applied"
JOURNAL OF APPLIED NONLINEAR DYNAMICS,2164-6457,2164-6473,"Engineering, Multidisciplinary | Mathematics, Interdisciplinary Applications | Physics, Multidisciplinary"
