,journal,issn-l,issn-e,categories,oa-id
17458,SEOUL JOURNAL OF ECONOMICS,1225-0279,1225-0279,Economics,S2764892055
17459,SEOUL JOURNAL OF KOREAN STUDIES,1225-0201,2331-4826,Area Studies,S120959427
17460,SEPARATION SCIENCE PLUS,2573-1815,2573-1815,"Chemistry, Analytical",S4210212791
17461,SERBIAN JOURNAL OF MANAGEMENT,1452-4864,1452-4864,Management,S2764883772
17462,SERVICE ORIENTED COMPUTING AND APPLICATIONS,1863-2386,1863-2394,"Computer Science, Interdisciplinary Applications",S4210170441
17463,SERVICES MARKETING QUARTERLY,1533-2969,1533-2977,Business,S61474858
17464,SETTLER COLONIAL STUDIES,2201-473X,1838-0743,"Social Sciences, Interdisciplinary",S4210228527
17465,SEXES,,2411-5118,"Medicine, General & Internal | Psychology, Multidisciplinary | Social Sciences, Interdisciplinary | Women'S Studies",
17466,SEXOLOGIES,1158-1360,1878-1829,"Public, Environmental & Occupational Health",S4210189827
17467,SEXUAL HEALTH & COMPULSIVITY,2692-9953,2692-9996,"Psychology, Clinical",S4393919101
17468,SEXUALITY & CULTURE-AN INTERDISCIPLINARY JOURNAL,1095-5143,1936-4822,"Social Sciences, Interdisciplinary",S105379996
17469,S&F-SCIENZAEFILOSOFIA IT,2036-2927,2036-2927,History & Philosophy Of Science,S2737889003
17470,SGUARDO-RIVISTA DI FILOSOFIA,2036-6558,2036-6558,Philosophy,S2737571141
17471,SHAPE MEMORY AND SUPERELASTICITY,2199-384X,2199-3858,"Materials Science, Multidisciplinary",S4210216991
17472,SHE JI-THE JOURNAL OF DESIGN ECONOMICS AND INNOVATION,2405-8726,2405-8718,"Humanities, Multidisciplinary | Social Sciences, Interdisciplinary",S2898472644
17473,SHIMA-THE INTERNATIONAL JOURNAL OF RESEARCH INTO ISLAND CULTURES,1834-6049,1834-6057,"Geography | Social Sciences, Interdisciplinary",S4210194993
17474,SHIP TECHNOLOGY RESEARCH,0937-7255,2056-7111,"Engineering, Marine",S4210209217
17475,SHORT FILM STUDIES,2042-7824,2042-7832,"Film, Radio, Television",S4210171235
17476,SHOULDER & ELBOW,1758-5732,1758-5740,Orthopedics,S163759021
17477,SIBERIAN ELECTRONIC MATHEMATICAL REPORTS-SIBIRSKIE ELEKTRONNYE MATEMATICHESKIE IZVESTIYA,1813-3304,1813-3304,Mathematics,S4210192361
17478,SIBERIAN HISTORICAL RESEARCH-SIBIRSKIE ISTORICHESKIE ISSLEDOVANIYA,2312-461X,2312-4628,History,S4210187906
17479,SIBIRICA-INTERDISCIPLINARY JOURNAL OF SIBERIAN STUDIES,1361-7362,1476-6787,Area Studies,S4210173922
17480,SIBIRSKII FILOLOGICHESKII ZHURNAL,1813-7083,1813-7083,Language & Linguistics,S4210217820
17481,SIBIRSKIY PSIKHOLOGICHESKIY ZHURNAL-SIBERIAN JOURNAL OF PSYCHOLOGY,1726-7080,2411-0809,"Psychology, Multidisciplinary",S4210215009
17482,SIC-A JOURNAL OF LITERATURE CULTURE AND LITERARY TRANSLATION,,1847-7755,Literature,
17483,SICE JOURNAL OF CONTROL MEASUREMENT AND SYSTEM INTEGRATION,1882-4889,1884-9970,"Automation & Control Systems | Engineering, Electrical & Electronic",S3207770626
17484,SICOT-J,2426-8887,2426-8887,Orthopedics,S2738021499
17485,SICS SOFTWARE-INTENSIVE CYBER-PHYSICAL SYSTEMS,2524-8510,2524-8529,"Computer Science, Hardware & Architecture",S4210186896
17486,SIGMAE,2317-0840,2317-0840,Mathematics,
17487,SIGMA JOURNAL OF ENGINEERING AND NATURAL SCIENCES-SIGMA MUHENDISLIK VE FEN BILIMLERI DERGISI,1304-7205,1304-7191,"Engineering, Multidisciplinary",S2736366113
17488,SIGNALS,,2624-6120,"Engineering, Electrical & Electronic",
17489,SIGN LANGUAGE & LINGUISTICS,1387-9316,1569-996X,Linguistics | Language & Linguistics,S38373095
17490,SIGN LANGUAGE STUDIES,0302-1475,1533-6263,Linguistics,S196980128
17491,SIGNO Y SENA-REVISTA DEL INSTITUTO DE LINGUISTICA,2314-2189,2314-2189,Language & Linguistics,S4306529995
17492,SIKH FORMATIONS-RELIGION CULTURE THEORY,1744-8727,1744-8735,Asian Studies,S4210172794
17493,SIMBIOTICA,2316-1620,2316-1620,"Social Sciences, Interdisciplinary",S2737667316
17494,SIMPLEGADI,1824-5226,1824-5226,Literature,S2738206372
17495,SIMULATION & GAMING,1046-8781,1552-826X,Education & Educational Research,S112620617
17496,SIRNAK UNIVERSITY JOURNAL OF DIVINITY FACULTY,2146-4901,2667-6575,Religion,S4306530059
17497,SI SOMOS AMERICANOS-REVISTA DE ESTUDIOS TRANSFRONTERIZOS,0718-2910,0719-0948,International Relations,S4210176543
17498,SISTEMAS & GESTAO,1980-5160,1980-5160,Management,S4210232574
17499,SISYPHUSâ€“JOURNAL OF EDUCATION,2182-8474,2182-9640,Education & Educational Research,
17500,SITUARTE,1856-7134,2542-3231,"Humanities, Multidisciplinary",S4210203340
17501,SIYASAL-JOURNAL OF POLITICAL SCIENCES,,2618-6330,Political Science,
17502,SKANDINAVSKAYA FILOLOGIYA,0202-2397,2618-9518,"Humanities, Multidisciplinary",S4210235333
17503,SKASE JOURNAL OF THEORETICAL LINGUISTICS,,1336-782X,Linguistics | Language & Linguistics,
17504,SKHIDNOIEVROPEISKYI ISTORYCHNYI VISNYK-EAST EUROPEAN HISTORICAL BULLETIN,2519-058X,2519-058X,History,S4210188108
17505,SKIN APPENDAGE DISORDERS,2296-9195,2296-9160,Dermatology,S4210185646
17506,SLAVIA-CASOPIS PRO SLOVANSKOU FILOLOGII,0037-6736,0037-6736,Language & Linguistics,S4387288333
17507,SLAVIA MERIDIONALIS,1233-6173,2392-2400,"Humanities, Multidisciplinary",S4210173600
17508,SLAVICA TERGESTINA,1592-0291,2283-5482,"Humanities, Multidisciplinary",
17509,SLAVONICA,1361-7427,1745-8145,"Humanities, Multidisciplinary",S182712288
17510,SLEEP ADVANCES,,2632-5012,Clinical Neurology | Neurosciences,
17511,SLEEP MEDICINE CLINICS,1556-407X,1556-4088,Clinical Neurology,S144226423
17512,SLEEP SCIENCE,1984-0659,1984-0063,Clinical Neurology,S2898336971
17513,SLOVAK JOURNAL OF CIVIL ENGINEERING,1210-3896,1338-3973,"Engineering, Civil",S2737281467
17514,SLOVENE-INTERNATIONAL JOURNAL OF SLAVIC STUDIES,2304-0785,2305-6754,"Humanities, Multidisciplinary",S4210208688
17515,SLOVENSKA ARCHEOLOGIA,1335-0102,2585-9145,Archaeology,S4210203976
17516,SLOVENSKA LITERATURA,0037-6973,0037-6973,"Literature, Slavic",S4210211458
17517,SLOVENSKY NARODOPIS-SLOVAK ETHNOLOGY,1335-1303,1339-9357,Anthropology,S2736711728
17518,SMALL ENTERPRISE RESEARCH,1321-5906,1175-0979,Business,S4210240072
17519,SMALL SCIENCE,2688-4046,2688-4046,"Nanoscience & Nanotechnology | Materials Science, Multidisciplinary",S4210233464
17520,SMALL WARS AND INSURGENCIES,0959-2318,1743-9558,International Relations,S4210184262
17521,SMART AGRICULTURAL TECHNOLOGY,2772-3755,2772-3755,"Agricultural Engineering | Agriculture, Multidisciplinary | Agronomy",S4210238883
17522,SMART AND SUSTAINABLE BUILT ENVIRONMENT,2046-6099,2046-6102,"Green & Sustainable Science & Technology | Engineering, Civil | Construction & Building Technology",S4210176273
17523,SMART AND SUSTAINABLE MANUFACTURING SYSTEMS,2520-6478,2572-3928,"Engineering, Manufacturing",S4210236461
17524,SMART CITIES,,2624-6511,"Engineering, Electrical & Electronic | Urban Studies",
17525,SMART ENERGY,2666-9552,2666-9552,Energy & Fuels,S4210228472
17526,SMART GRIDS AND SUSTAINABLE ENERGY,,2731-8087,"Energy & Fuels | Engineering, Electrical & Electronic",
17527,SMART-JOURNAL OF BUSINESS MANAGEMENT STUDIES,0973-1598,2321-2012,Management,S2764982749
17528,SMART LEARNING ENVIRONMENTS,,2196-7091,Education & Educational Research,
17529,SMARTMAT,2766-8525,2688-819X,"Chemistry, Multidisciplinary | Materials Science, Multidisciplinary",S4210207049
17530,SMART MEDICINE,2751-1871,2751-1871,"Materials Science, Biomaterials | Engineering, Biomedical",S4387285657
17531,SMART MOLECULES,2751-4587,2751-4595,"Chemistry, Multidisciplinary",S4387288135
17532,SMART SCIENCE,,2308-0477,Multidisciplinary Sciences,
17533,SNIPPETS,1590-1807,1590-1807,Language & Linguistics,S4210240927
17534,SOCAR PROCEEDINGS,2218-6867,2218-8622,"Engineering, Petroleum",S4210230977
17535,SOCCER & SOCIETY,1466-0970,1743-9590,"Hospitality, Leisure, Sport & Tourism",S79386155
17536,SOCIAL ALTERNATIVES,0155-0306,1836-6600,Sociology,S2764977880
17537,SOCIAL AND HEALTH SCIENCES,,2731-2984,Social Issues,
17538,SOCIAL CURRENTS,2329-4965,2329-4973,Sociology,S2764533491
17539,SOCIAL ENTERPRISE JOURNAL,1750-8614,1750-8533,Business,S68817889
17540,SOCIAL EVOLUTION & HISTORY,1681-4363,1681-4363,Social Issues,S67827823
17541,SOCIAL IDENTITIES,1350-4630,1363-0296,Ethnic Studies,S603496
17542,SOCIALINE TEORIJA EMPIRIJA POLITIKA IR PRAKTIKA,1648-2425,2345-0266,Social Work,S4210225173
17543,SOCIALIST STUDIES,1918-2821,1918-2821,Political Science,S1005148073
17544,SOCIAL MARKETING QUARTERLY,1524-5004,1539-4093,Business,S182227784
17545,SOCIAL NETWORK ANALYSIS AND MINING,1869-5450,1869-5469,"Computer Science, Information Systems",S2764891196
17546,SOCIAL PSYCHOLOGICAL BULLETIN,,2569-653X,"Psychology, Social",
17547,SOCIAL PSYCHOLOGY AND SOCIETY,2221-1527,2311-7052,"Psychology, Applied",S4210224758
17548,SOCIAL RESPONSIBILITY JOURNAL,1747-1117,1758-857X,Management,S146918421
17549,SOCIAL SCIENCES AND MISSIONS-SCIENCES SOCIALES ET MISSIONS,1874-8937,1874-8945,Religion,S170643298
17550,SOCIAL SCIENCES-BASEL,,2076-0760,"Social Sciences, Interdisciplinary",
17551,SOCIAL SCIENCES IN CHINA,0252-9203,1940-5952,"Social Sciences, Interdisciplinary",S30077822
17552,SOCIAL TEXT,0164-2472,1527-1951,Cultural Studies,S166763293
17553,SOCIAL WELFARE INTERDISCIPLINARY APPROACH,2029-7424,2424-3876,Social Work,S4210222236
17554,SOCIAL WORK EDUCATION,0261-5479,1470-1227,Education & Educational Research,S1627031
17555,SOCIAL WORK IN MENTAL HEALTH,1533-2985,1533-2993,Social Work,S76367647
17556,SOCIAL WORK-MAATSKAPLIKE WERK,0037-8054,2312-7198,Social Work,S2739462247
17557,SOCIAL WORK WITH GROUPS,0160-9513,1540-9481,Social Work | Behavioral Sciences,S66612391
17558,SOCIEDADES PRECAPITALISTAS,2250-5121,2250-5121,History,S2737070464
17559,SOCIETAMUTAMENTOPOLITICA-RIVISTA ITALIANA DI SOCIOLOGIA,2038-3150,2038-3150,Sociology,S2738434366
17560,SOCIETIES,,2075-4698,Sociology,
17561,SOCIETY AND BUSINESS REVIEW,1746-5680,1746-5699,Business,S178563901
17562,SOCIOHISTORICA-CUADERNOS DEL CISH,1514-0113,1852-1606,History,
17563,SOCIOLINGUISTIC STUDIES,1750-8649,1750-8657,Linguistics,S100619888
17564,SOCIOLOGIA NAUKI I TEHNOLOGIJ-SOCIOLOGY OF SCIENCE & TECHNOLOGY,2079-0910,2414-9225,History & Philosophy Of Science | Sociology,
17565,SOCIOLOGIA Y TECNOCIENCIA,1989-8487,1989-8487,Sociology,S2739110950
17566,SOCIOLOGICA-INTERNATIONAL JOURNAL FOR SOCIOLOGICAL DEBATE,,1971-8853,Sociology,
17567,SOCIOLOGICESKOE OBOZRENIE,1728-192X,1728-1938,Sociology,S4210223199
17568,SOCIOLOGIJA,0038-0318,0038-0318,Sociology,S52866267
17569,SOCIOLOGY OF DEVELOPMENT,,2374-538X,Development Studies | Sociology,
17570,SOCIUS,2378-0231,2378-0231,Sociology,S4210198833
17571,SODOBNA PEDAGOGIKA-JOURNAL OF CONTEMPORARY EDUCATIONAL STUDIES,0038-0474,0038-0474,Education & Educational Research,
17572,SOFT SCIENCE,,2769-5441,"Materials Science, Multidisciplinary",
17573,SOFTWARE IMPACTS,2665-9638,2665-9638,"Computer Science, Software Engineering",S4210180398
17574,SOIL ECOLOGY LETTERS,2662-2289,2662-2297,Ecology | Soil Science,S4210176820
17575,SOIL & ENVIRONMENT,2074-9546,2074-9546,Soil Science,S4210239072
17576,SOILS AND ROCKS,1980-9743,2675-5475,"Engineering, Geological",S4210222087
17577,SOIL SCIENCE ANNUAL,2300-4967,2300-4975,Soil Science,S4210181145
17578,SOIL SYSTEMS,,2571-8789,Soil Science,
17579,SOJOURN-JOURNAL OF SOCIAL ISSUES IN SOUTHEAST ASIA,0217-9520,1793-2858,Area Studies,S112879492
17580,SOLAR-TERRESTRIAL PHYSICS,2500-0535,2500-0535,Geochemistry & Geophysics,S2764347338
17581,SOLETRAS,1519-7778,2316-8838,Language & Linguistics,S4210189585
17582,SOLID EARTH SCIENCES,2451-912X,2451-912X,"Geosciences, Multidisciplinary",S2898290686
17583,SOLIDS,,2673-6497,"Chemistry, Physical | Materials Science, Multidisciplinary",
17584,SOMATECHNICS,2044-0138,2044-0146,"Social Sciences, Interdisciplinary",S4210175980
17585,SOMNOLOGIE,1432-9123,1439-054X,Clinical Neurology,S4210168933
17586,SONOGRAPHY,2202-8323,2054-6750,"Radiology, Nuclear Medicine & Medical Imaging",S4210237422
17587,SOPHIA-COLECCION DE FILOSOFIA DE LA EDUCACION,1390-3861,1390-8626,Education & Educational Research,S4210183005
17588,SOPHIA-EDUCACION,1794-8932,2346-0806,Education & Educational Research,S4210176724
17589,SOSYOEKONOMI,1305-5577,1305-5577,Economics,S4210228924
17590,SOUND AND VIBRATION,1541-0161,1541-0161,Acoustics,S196600401
17591,SOUND STUDIES,2055-1940,2055-1959,"Humanities, Multidisciplinary",S4210174391
17592,SOUTH AFRICAN ACTUARIAL JOURNAL,1680-2179,1680-2179,"Business, Finance",S2764798183
17593,SOUTH AFRICAN CRIME QUARTERLY-SACQ,1991-3877,1991-3877,Criminology & Penology,S2764422958
17594,SOUTH AFRICAN FAMILY PRACTICE,2078-6190,2078-6204,"Medicine, General & Internal",S2764855893
17595,SOUTH AFRICAN JOURNAL OF ACCOUNTING RESEARCH,1029-1954,2376-3981,"Business, Finance",S4210219434
17596,SOUTH AFRICAN JOURNAL OF AFRICAN LANGUAGES,0257-2117,2305-1159,Language & Linguistics,S2764632042
17597,SOUTH AFRICAN JOURNAL OF ART HISTORY,0258-3542,0258-3542,Art,S2764909107
17598,SOUTH AFRICAN JOURNAL OF BIOETHICS AND LAW,1999-7639,1999-7639,Medical Ethics,S2737275689
17599,SOUTH AFRICAN JOURNAL OF CHEMICAL ENGINEERING,1026-9185,2589-0344,"Engineering, Chemical",S2764476899
17600,SOUTH AFRICAN JOURNAL OF CHILD HEALTH,1994-3032,1999-7671,Pediatrics,S2736485139
17601,SOUTH AFRICAN JOURNAL OF CHILDHOOD EDUCATION,2223-7674,2223-7682,Education & Educational Research,S2764810905
17602,SOUTH AFRICAN JOURNAL OF CLINICAL NUTRITION,1607-0658,2221-1268,Nutrition & Dietetics,S2764714080
17603,SOUTH AFRICAN JOURNAL OF COMMUNICATION DISORDERS,0379-8046,2225-4765,Audiology & Speech-Language Pathology,S2764913984
17604,SOUTH AFRICAN JOURNAL OF CULTURAL HISTORY,1011-3053,1011-3053,History,S2764433182
17605,SOUTH AFRICAN JOURNAL OF GEOMATICS,2225-8531,2225-8531,Remote Sensing,S2764967830
17606,SOUTH AFRICAN JOURNAL OF HIGHER EDUCATION,1011-3487,1753-5913,Education & Educational Research,S2764671384
17607,SOUTH AFRICAN JOURNAL OF INFORMATION MANAGEMENT,2078-1865,1560-683X,Information Science & Library Science,S2764463561
17608,SOUTH AFRICAN JOURNAL OF INTERNATIONAL AFFAIRS-SAJIA,1022-0461,1938-0275,International Relations,S134523523
17609,SOUTH AFRICAN JOURNAL OF LIBRARIES AND INFORMATION SCIENCE,0256-8861,2304-8263,Information Science & Library Science,S2737383775
17610,SOUTH AFRICAN JOURNAL OF PHYSIOTHERAPY,0379-6175,2410-8219,Rehabilitation,S2764528145
17611,SOUTH AFRICAN JOURNAL OF PLANT AND SOIL,0257-1862,2167-034X,Agronomy,S2764755494
17612,SOUTH AFRICAN MUSEUMS ASSOCIATION BULLETIN,0258-5049,0258-5049,"Humanities, Multidisciplinary",S2765067094
17613,SOUTH AFRICAN REVIEW OF SOCIOLOGY,2152-8586,2072-1978,Sociology,S4210179109
17614,SOUTH AFRICAN STATISTICAL JOURNAL,0038-271X,1996-8450,Statistics & Probability,S64246154
17615,SOUTH AFRICAN THEATRE JOURNAL,1013-7548,2163-7660,Theater,S2764825217
17616,SOUTH ASIAN DIASPORA,1943-8192,1943-8184,Area Studies,S46285813
17617,SOUTH ASIAN HISTORY AND CULTURE,1947-2498,1947-2501,Asian Studies,S67927131
17618,SOUTH ASIAN JOURNAL OF BUSINESS STUDIES,2398-628X,2398-6298,Business,S4210181806
17619,SOUTH ASIAN JOURNAL OF CANCER,2278-330X,2278-4306,Oncology,S2737972079
17620,SOUTH ASIAN JOURNAL OF HUMAN RESOURCE MANAGEMENT,2322-0937,2349-5790,Management,S4210226929
17621,SOUTH ASIAN JOURNAL OF MACROECONOMICS AND PUBLIC FINANCE,2277-9787,2321-0273,Economics,S4210190792
17622,SOUTH ASIAN POPULAR CULTURE,1474-6689,1474-6697,Cultural Studies | Asian Studies,S31925336
17623,SOUTH ASIAN REVIEW,0275-9527,2573-9476,Asian Studies | Literature,S4210211633
17624,SOUTH ASIAN STUDIES,0266-6030,2153-2699,Asian Studies,S4210192815
17625,SOUTH ASIA RESEARCH,0262-7280,1741-3141,Area Studies | Asian Studies,S47244669
17626,SOUTHEAST ASIAN BULLETIN OF MATHEMATICS,0129-2021,0219-175X,Mathematics,S115232736
17627,SOUTH EAST ASIAN JOURNAL OF MANAGEMENT,1978-1989,2355-6641,Management,S2738214312
17628,SOUTHEAST ASIAN STUDIES,2186-7275,2423-8686,Area Studies,S2737903008
17629,SOUTHEASTERN EUROPE,0094-4467,1876-3332,Area Studies,S4173319
17630,SOUTHEASTERN GEOGRAPHER,0038-366X,1549-6929,Geography,S51653399
17631,SOUTH EAST EUROPEAN JOURNAL OF ECONOMICS AND BUSINESS,1840-118X,2233-1999,Economics,S20277109
17632,SOUTHERN AFRICAN BUSINESS REVIEW,1998-8125,1998-8125,Law,S2764696161
17633,SOUTHERN AFRICAN JOURNAL OF ACCOUNTABILITY AND AUDITING RESEARCH-SAJAAR,1028-9011,1028-9011,"Business, Finance",S2764581894
17634,SOUTHERN AFRICAN JOURNAL OF ANAESTHESIA AND ANALGESIA,2220-1181,2220-1173,Anesthesiology,S4210192822
17635,SOUTHERN AFRICAN JOURNAL OF CRITICAL CARE,1562-8264,2078-676X,Critical Care Medicine,S2764498849
17636,SOUTHERN AFRICAN JOURNAL OF GYNAECOLOGICAL ONCOLOGY,2074-2835,2220-105X,Obstetrics & Gynecology,S2764398951
17637,SOUTHERN AFRICAN JOURNAL OF INFECTIOUS DISEASES,2312-0053,2313-1810,Infectious Diseases,S2765038511
17638,SOUTHERN COMMUNICATION JOURNAL,1041-794X,1930-3203,Communication,S2764635653
17639,SOUTH OF RUSSIA-ECOLOGY DEVELOPMENT,1992-1098,2413-0958,Ecology,S4210213972
17640,SOVIET AND POST SOVIET REVIEW,1075-1262,1876-3324,History,S91930975
17641,SOVREMENNYE TEHNOLOGII V MEDICINE,2076-4243,2076-4243,"Medicine, Research & Experimental",S4210171288
17642,SPACE AND POLITY,1356-2576,1470-1235,Geography,S81716898
17643,SPACE SCIENCE AND TECHNOLOGY,1561-8889,2518-1459,Astronomy & Astrophysics,S4210201204
17644,SPACE-SCIENCE & TECHNOLOGY,,2692-7659,"Engineering, Aerospace | Astronomy & Astrophysics",
17645,SPAL,1133-4525,2255-3924,Archaeology,S4210189495
17646,SPANISH JOURNAL OF MARKETING-ESIC,2444-9695,2444-9709,Management | Business,S2898402987
17647,SPANISH JOURNAL OF MEDICAL EDUCATION,,2660-8529,"Education, Scientific Disciplines",
17648,SPANISH JOURNAL OF SOIL SCIENCE,2253-6574,2253-6574,Soil Science,S2737913876
17649,SPATIAL AND SPATIO-TEMPORAL EPIDEMIOLOGY,1877-5845,1877-5853,"Public, Environmental & Occupational Health",S98349058
17650,SPATIAL DEMOGRAPHY,2364-2289,2164-7070,Demography,S4210225524
17651,SPATIAL INFORMATION RESEARCH,2366-3286,2366-3294,Remote Sensing,S2764600325
17652,SPAZI DELLA MUSICA,2240-7944,2240-7944,Music,
17653,SPECIAL CARE IN DENTISTRY,0275-1879,1754-4505,"Dentistry, Oral Surgery & Medicine",S51610931
17654,SPECIAL MATRICES,2300-7451,2300-7451,Mathematics,S2737979056
17655,SPECIAL TOPICS & REVIEWS IN POROUS MEDIA-AN INTERNATIONAL JOURNAL,2151-4798,2151-562X,"Engineering, Mechanical",S4210238119
17656,SPECTRUM,2162-3244,2162-3252,Ethnic Studies,S2764691138
17657,SPECULA. REVISTA DE HUMANIDADES Y ESPIRITUALIDAD,2697-2484,2792-3290,History | Medieval & Renaissance Studies,S4387280276
17658,SPEECH LANGUAGE AND HEARING,2050-571X,2050-5728,Audiology & Speech-Language Pathology,S2765033022
17659,SPEKTRUM DER AUGENHEILKUNDE,0930-4282,1613-7523,Ophthalmology,S167057539
17660,SPINAL CORD SERIES AND CASES,2058-6124,2058-6124,Clinical Neurology | Rehabilitation,S2764904848
17661,SPINE DEFORMITY,2212-134X,2212-1358,Clinical Neurology | Orthopedics,S2764396434
17662,SPINE SURGERY AND RELATED RESEARCH,2432-261X,2432-261X,Surgery,S4210191668
17663,SPIRITUALITY IN CLINICAL PRACTICE,2326-4500,2326-4519,"Psychology, Clinical",S2764937117
17664,SPIRITUALITY STUDIES,,1339-9578,Religion,
17665,SPISANIE NA BULGARSKOTO GEOLOGICHESKO DRUZHESTVO-REVIEW OF THE BULGARIAN GEOLOGICAL SOCIETY,0007-3938,1314-8680,"Geosciences, Multidisciplinary",S4210223150
17666,SPONTANEOUS GENERATIONS-JOURNAL FOR THE HISTORY AND PHILOSOPHY OF SCIENCE,1913-0465,1913-0465,History & Philosophy Of Science,S4210194771
17667,SPORT BUSINESS AND MANAGEMENT-AN INTERNATIONAL JOURNAL,2042-678X,2042-6798,"Hospitality, Leisure, Sport & Tourism",S4210204299
17668,SPORT ETHICS AND PHILOSOPHY,1751-1321,1751-133X,Ethics,S171983598
17669,SPORT IN HISTORY,1746-0263,1746-0271,"Hospitality, Leisure, Sport & Tourism",S69229622
17670,SPORTIS-SCIENTIFIC TECHNICAL JOURNAL OF SCHOOL SPORT PHYSICAL EDUCATION AND PSYCHOMOTRICITY,2386-8333,2386-8333,Education & Educational Research | Sport Sciences,S2738994920
17671,SPORT MANAGEMENT EDUCATION JOURNAL,1938-6974,2163-2367,Education & Educational Research,S4210181919
17672,SPORTS,,2075-4663,Sport Sciences,
17673,SPORT SCIENCES FOR HEALTH,1824-7490,1825-1234,Sport Sciences,S14216896
17674,SPORTS COACHING REVIEW,2164-0629,2164-0637,"Hospitality, Leisure, Sport & Tourism",S4210205499
17675,SPORTS ENGINEERING,1369-7072,1460-2687,Sport Sciences,S99453086
17676,SPORTS MEDICINE AND HEALTH SCIENCE,2666-3376,2666-3376,Sport Sciences,S4210193185
17677,SPORT TK-REVISTA EUROAMERICANA DE CIENCIAS DEL DEPORTE,2340-8812,2340-8812,Sport Sciences,S4210225313
17678,SPRACHE & SPRACHEN,0934-6813,2199-6016,Language & Linguistics,
17679,SPRACHE-STIMME-GEHOR,0342-0477,1439-1260,Otorhinolaryngology,S168280950
17680,SPREADSHEETS IN EDUCATION,1448-6156,1448-6156,Education & Educational Research,S2764810238
17681,SPUR-SCHOLARSHIP AND PRACTICE OF UNDERGRADUATE RESEARCH,2476-101X,2476-101X,Education & Educational Research,S4210197222
17682,SRAVNITELNAYA POLITIKA-COMPARATIVE POLITICS,2221-3279,2412-4990,Political Science,S4210186208
17683,SRI LANKA JOURNAL OF SOCIAL SCIENCES,0258-9710,2478-1169,"Social Sciences, Interdisciplinary",S4210180061
17684,SRI LANKAN JOURNAL OF ANAESTHESIOLOGY,1391-8834,2279-1965,Anesthesiology,S94133337
17685,SSM-MENTAL HEALTH,2666-5603,2666-5603,"Public, Environmental & Occupational Health | Psychiatry",S4210190706
17686,SSM-QUALITATIVE RESEARCH IN HEALTH,2667-3215,2667-3215,"Public, Environmental & Occupational Health | Social Sciences, Biomedical",S4210202501
17687,STABILITY-INTERNATIONAL JOURNAL OF SECURITY AND DEVELOPMENT,2165-2627,2165-2627,International Relations,S2764694714
17688,STANISLAVSKI STUDIES,2056-7790,2054-4170,Theater,S4210172254
17689,STAPS-SCIENCES ET TECHNIQUES DES ACTIVITES PHYSIQUES ET SPORTIVES,0247-106X,1782-1568,"Social Sciences, Interdisciplinary",S34091647
17690,STAR PROTOCOLS,2666-1667,2666-1667,Biochemical Research Methods,S4210212477
17691,STATE CRIME,2046-6056,2046-6064,Political Science,S4210197680
17692,STATISTICA,0390-590X,1973-2201,Statistics & Probability,S53032298
